source_id;pregunta;opcion_1;opcion_2;opcion_3;respuesta_correcta;tema;subtema;pct_fallo;depende_imagen;cobertura_rgc
67667;En general, un conductor que sufre un trastorno depresivo...;es más irritable y más ansioso al volante.;es menos irritable y menos ansioso al volante.;es más ansioso al volante, pero menos irritable.;es más irritable y más ansioso al volante.;17 Tiempo y Distancia de Reacción y Factores Que Intervienen;Enfermedades, Estres y Depresión.;9.62;no;fuera
67668;Si conduce un vehículo de grandes dimensiones, al adelantar a ciclistas, ¿es aconsejable aumentar la separación lateral por encima de la mínima establecida por la norma?;Sí, para evitar que pierdan la estabilidad por un golpe de aire.;Sí, pero solo en vías con más de un carril para cada sentido de la circulación.;No, de hecho, es aconsejable reducir la separación lateral al mínimo posible.;Sí, para evitar que pierdan la estabilidad por un golpe de aire.;06 Uso de la via y Adelantamientos;1,5 metros motos;14.90;no;rgc
67669;Para evitar posibles lesiones, la cinta torácica del cinturón de seguridad, debe pasar...;por el hombro.;por la clavícula, entre el cuello y el hombro.;por el cuello.;por la clavícula, entre el cuello y el hombro.;13 Personas y Mercancias Transportadas;Posición en el Asiento y Cinturón de Seguridad.;2.59;no;mixto
67670;En un turismo con cinco plazas autorizadas, ¿puede transportar a seis personas?;No, está prohibido.;Sí, siempre que no se supere la masa máxima autorizada.;Solo sí, al menos, uno de los ocupantes es menor de 14 años.;No, está prohibido.;13 Personas y Mercancias Transportadas;Posición en el Asiento y Cinturón de Seguridad.;0.72;no;mixto
67672;¿Con qué dos factores suelen relacionarse muchos de los accidentes más graves que sufren los jóvenes conductores?;Con el consumo de alcohol y drogas y una actitud prudente al volante.;Con la falta de experiencia al volante y el consumo de alcohol y drogas.;Con la velocidad excesiva y una adecuada percepción del riesgo.;Con la falta de experiencia al volante y el consumo de alcohol y drogas.;18 Factores Humano, Vía, Vehículo;Los Jóvenes.;13.67;no;fuera
67673;Debido a la pérdida de capacidades psicofísicas, ¿en qué situaciones de tráfico existe una mayor probabilidad de que sufran un accidente las personas mayores?;En situaciones complejas que no exijan una respuesta rápida.;En situaciones simples que no exijan una respuesta rápida.;En situaciones complejas que exijan una respuesta rápida.;En situaciones complejas que exijan una respuesta rápida.;18 Factores Humano, Vía, Vehículo;Los Niños y los Ancianos.;7.90;no;fuera
67674;Cuando las luces de su vehículo apuntan demasiado bajo...;se mejora la iluminación de la vía a larga distancia.;se acorta la iluminación a larga distancia.;se puede deslumbrar a los conductores de otros vehículos.;se acorta la iluminación a larga distancia.;16 Luces;Luces adaptativas;14.22;no;rgc
67675;Si la parte rígida de la carrocería es de gran resistencia, ¿es aconsejable no usar el cinturón de seguridad?;Sí, porque los ocupantes del vehículo están bien protegidos.;Sólo en los vehículos todo terreno o en los de más de 3.500 kg de MMA.;No.;No.;13 Personas y Mercancias Transportadas;Posición en el Asiento y Cinturón de Seguridad.;3.09;no;mixto
67679;En general, bajo los efectos de anfetaminas...;el comportamiento del conductor puede ser impaciente e impulsivo.;aumenta la sensación de fatiga del conductor.;el conductor percibe mejor las situaciones de riesgo.;el comportamiento del conductor puede ser impaciente e impulsivo.;17 Tiempo y Distancia de Reacción y Factores Que Intervienen;Efectos de las Drogas.;12.36;no;fuera
67680;¿Está permitido realizar competiciones de velocidad en las vías públicas?;No, como norma general.;Sí, siempre.;Solo si un vehículo de la organización encabeza la carrera con una bandera verde.;No, como norma general.;15 Velocidad;Competiciones de Velocidad.;2.94;no;rgc
67683;Cuando no se trata de una intersección, ¿dónde debe detenerse, el conductor de un vehículo que se acerque de frente a un Agente que tenga el brazo levantado verticalmente?;Ante la línea de detención y, si no existiera, inmediatamente antes del Agente.;Inmediatamente antes del Agente, aunque exista línea de detención.;En vías de doble sentido, inmediatamente después del Agente.;Ante la línea de detención y, si no existiera, inmediatamente antes del Agente.;02 Señalizacion;Agentes;9.51;no;rgc
67684;En una intersección donde no esté señalizada la prioridad, ¿debe ceder el paso a un tranvía?;Solo si el tranvía se aproxima por la derecha.;Sí, tanto si el tranvía se aproxima por la derecha como por la izquierda.;No, no tienen prioridad de paso en las intersecciones no señalizadas.;Sí, tanto si el tranvía se aproxima por la derecha como por la izquierda.;10 Preferencias;Intersección con Tranvía y Calzada preferente.;8.17;no;rgc
67685;En una intersección sin señalizar, ¿está obligado un turismo a ceder el paso a un tranvía?;No.;Sí.;Sólo cuando el tranvía se aproxime por la derecha.;Sí.;10 Preferencias;Norma General de Preferencia de la Derecha.;5.86;no;rgc
67687;Es obligatorio encender el alumbrado de posición...;siempre que sea obligatorio circular con cualquier otro alumbrado.;al estacionar en la calzada de una travesía suficientemente iluminada.;cuando se circula a menos de 40 km/h por una vía interurbana.;siempre que sea obligatorio circular con cualquier otro alumbrado.;16 Luces;Luz de Posición, Cruce y Largo Alcance.;21.31;no;rgc
67688;¿Qué indica esta señal?;Peligro por la proximidad de un cruce con una línea de tranvía.;Peligro por la proximidad de un carril reservado para autobuses y tranvías.;Peligro por la proximidad de un lugar reservado para parada de tranvías.;Peligro por la proximidad de un cruce con una línea de tranvía.;07 Señales de Peligro y Prohibición;peligro tranvia;11.55;si;rgc
67689;En función de su nivel de emisiones y combustible empleado, se clasifican en la categoría 0 emisiones...;los vehículos eléctricos de batería.;los vehículos con motor de combustión interna.;los vehículos propulsados por gas licuado del petróleo (GLP).;los vehículos eléctricos de batería.;14 Mecánica;Etiquetas Contaminación;3.86;no;fuera
67691;Si un agente de tráfico le solicita la documentación, ¿puede acreditar la titularidad de su permiso de conducción en formato digital?;Sí, mediante la aplicación móvil miDGT.;No, es obligatorio presentarlo en formato físico.;Sí, pero tiene que presentarlo también en formato físico.;Sí, mediante la aplicación móvil miDGT.;11 Permisos de Conducir;Tipos de Permisos de Conducción.;2.08;no;fuera
