idpregunta;traffictest;fotoRouteComplete;textopregunta;vecesHecha;mediaFallada;vecesHechaExperimento;mediaFalladaExperimento;respuesta1;respuesta2;respuesta3;respuesta4;respuestaCorrecta;idTema;temaDenominacion;idSubtema;subtemaDenominacion;descatalogada;idRespuesta1;idRespuesta2;idRespuesta3;idRespuesta4;idRespuestaCorrecta;enableForContent;enableForTestLesson;enableForTestExam;enableForTestKiller;enableForTestReview
67667;29544;Iveralso/1194195.jpg;"En general, un conductor que sufre un trastorno depresivo...";8762;9,62;8305;9,41;"es más irritable y más ansioso al volante.";"es menos irritable y menos ansioso al volante.";"es más ansioso al volante, pero menos irritable.";;"es más irritable y más ansioso al volante.";3206;"17 Tiempo y Distancia de Reacción y Factores Que Intervienen";20600;"Enfermedades, Estres y Depresión.";No;229299;229300;229301;;229299;No;Si;Si;No;No
67668;29778;Iveralso/6815.jpeg;"Si conduce un vehículo de grandes dimensiones, al adelantar a ciclistas, ¿es aconsejable aumentar la separación lateral por encima de la mínima establecida por la norma?";10804;14,90;10215;14,93;"Sí, para evitar que pierdan la estabilidad por un golpe de aire.";"Sí, pero solo en vías con más de un carril para cada sentido de la circulación.";"No, de hecho, es aconsejable reducir la separación lateral al mínimo posible.";;"Sí, para evitar que pierdan la estabilidad por un golpe de aire.";3199;"06 Uso de la via y Adelantamientos";20671;"1,5 metros motos";No;229302;229303;229304;;229302;No;Si;Si;No;No
67669;29980;Iveralso/6816.jpeg;"Para evitar posibles lesiones, la cinta torácica del cinturón de seguridad, debe pasar...";693;2,59;644;2,48;"por el hombro.";"por la clavícula, entre el cuello y el hombro.";"por el cuello.";;"por la clavícula, entre el cuello y el hombro.";3197;"13 Personas y Mercancias Transportadas";20636;"Posición en el Asiento y Cinturón de Seguridad.";No;229305;229306;229307;;229306;No;No;No;No;Si
67670;33001;Iveralso/6640.jpg;"En un turismo con cinco plazas autorizadas, ¿puede transportar a seis personas?";691;0,72;637;0,78;"No, está prohibido.";"Sí, siempre que no se supere la masa máxima autorizada.";"Solo sí, al menos, uno de los ocupantes es menor de 14 años.";;"No, está prohibido.";3197;"13 Personas y Mercancias Transportadas";20636;"Posición en el Asiento y Cinturón de Seguridad.";No;229308;229309;229310;;229308;No;No;No;No;Si
67672;33269;Iveralso/6405.jpg;"¿Con qué dos factores suelen relacionarse muchos de los accidentes más graves que sufren los jóvenes conductores?";8884;13,67;8415;13,65;"Con el consumo de alcohol y drogas y una actitud prudente al volante.";"Con la falta de experiencia al volante y el consumo de alcohol y drogas.";"Con la velocidad excesiva y una adecuada percepción del riesgo.";;"Con la falta de experiencia al volante y el consumo de alcohol y drogas.";3202;"18 Factores Humano, Vía, Vehículo";20609;"Los Jóvenes.";No;229314;229315;229316;;229315;No;Si;Si;No;No
67673;33439;Iveralso/6817.jpeg;"Debido a la pérdida de capacidades psicofísicas, ¿en qué situaciones de tráfico existe una mayor probabilidad de que sufran un accidente las personas mayores?";8670;7,90;8212;7,70;"En situaciones complejas que no exijan una respuesta rápida.";"En situaciones simples que no exijan una respuesta rápida.";"En situaciones complejas que exijan una respuesta rápida.";;"En situaciones complejas que exijan una respuesta rápida.";3202;"18 Factores Humano, Vía, Vehículo";20611;"Los Niños y los Ancianos.";No;229317;229318;229319;;229319;No;Si;Si;No;No
67674;33577;Iveralso/6066.jpg;"Cuando las luces de su vehículo apuntan demasiado bajo...";10217;14,22;9711;14,19;"se mejora la iluminación de la vía a larga distancia.";"se acorta la iluminación a larga distancia.";"se puede deslumbrar a los conductores de otros vehículos.";;"se acorta la iluminación a larga distancia.";3204;"16 Luces";20639;"Luces adaptativas";No;229320;229321;229322;;229321;No;Si;Si;No;No
67675;33668;Iveralso/6333.jpg;"Si la parte rígida de la carrocería es de gran resistencia, ¿es aconsejable no usar el cinturón de seguridad?";710;3,09;662;3,17;"Sí, porque los ocupantes del vehículo están bien protegidos.";"Sólo en los vehículos todo terreno o en los de más de 3.500 kg de MMA.";No.;;No.;3197;"13 Personas y Mercancias Transportadas";20636;"Posición en el Asiento y Cinturón de Seguridad.";No;229323;229324;229325;;229325;No;No;No;No;Si
67679;33824;Iveralso/6869.jpeg;"En general, bajo los efectos de anfetaminas...";8959;12,36;8515;12,46;"el comportamiento del conductor puede ser impaciente e impulsivo.";"aumenta la sensación de fatiga del conductor.";"el conductor percibe mejor las situaciones de riesgo.";;"el comportamiento del conductor puede ser impaciente e impulsivo.";3206;"17 Tiempo y Distancia de Reacción y Factores Que Intervienen";20597;"Efectos de las Drogas.";No;229335;229336;229337;;229335;No;Si;Si;No;No
67680;33832;Iveralso/6040.jpg;"¿Está permitido realizar competiciones de velocidad en las vías públicas?";712;2,94;671;3,12;"No, como norma general.";"Sí, siempre.";"Solo si un vehículo de la organización encabeza la carrera con una bandera verde.";;"No, como norma general.";3196;"15 Velocidad";20589;"Competiciones de Velocidad.";No;229338;229339;229340;;229338;No;No;No;No;Si
67683;33878;Iveralso/6477.jpg;"Cuando no se trata de una intersección, ¿dónde debe detenerse, el conductor de un vehículo que se acerque de frente a un Agente que tenga el brazo levantado verticalmente?";15001;9,51;14220;9,52;"Ante la línea de detención y, si no existiera, inmediatamente antes del Agente.";"Inmediatamente antes del Agente, aunque exista línea de detención.";"En vías de doble sentido, inmediatamente después del Agente.";;"Ante la línea de detención y, si no existiera, inmediatamente antes del Agente.";3190;"02 Señalizacion";20365;Agentes;No;229347;229348;229349;;229347;No;Si;Si;No;No
67684;33880;Iveralso/6496.jpg;"En una intersección donde no esté señalizada la prioridad, ¿debe ceder el paso a un tranvía?";10437;8,17;9927;8,13;"Solo si el tranvía se aproxima por la derecha.";"Sí, tanto si el tranvía se aproxima por la derecha como por la izquierda.";"No, no tienen prioridad de paso en las intersecciones no señalizadas.";;"Sí, tanto si el tranvía se aproxima por la derecha como por la izquierda.";3194;"10 Preferencias";20560;"Intersección con Tranvía y Calzada preferente.";No;229350;229351;229352;;229351;No;Si;Si;No;No
67685;33935;Iveralso/6818.jpeg;"En una intersección sin señalizar, ¿está obligado un turismo a ceder el paso a un tranvía?";10222;5,86;9684;5,71;No.;Sí.;"Sólo cuando el tranvía se aproxime por la derecha.";;Sí.;3194;"10 Preferencias";20417;"Norma General de Preferencia de la Derecha.";No;229353;229354;229355;;229354;No;No;No;No;Si
67687;33971;Iveralso/6479.jpg;"Es obligatorio encender el alumbrado de posición...";10577;21,31;10040;21,30;"siempre que sea obligatorio circular con cualquier otro alumbrado.";"al estacionar en la calzada de una travesía suficientemente iluminada.";"cuando se circula a menos de 40 km/h por una vía interurbana.";;"siempre que sea obligatorio circular con cualquier otro alumbrado.";3204;"16 Luces";20575;"Luz de Posición, Cruce y Largo Alcance.";No;229359;229360;229361;;229359;Si;Si;Si;No;No
67688;36876;Iveralso/6130.jpg;"¿Qué indica esta señal?";11537;11,55;10938;11,42;"Peligro por la proximidad de un cruce con una línea de tranvía.";"Peligro por la proximidad de un carril reservado para autobuses y tranvías.";"Peligro por la proximidad de un lugar reservado para parada de tranvías.";;"Peligro por la proximidad de un cruce con una línea de tranvía.";3193;"07 Señales de Peligro y Prohibición";20762;"peligro tranvia";No;229362;229363;229364;;229362;No;Si;Si;No;No
67689;113713;Iveralso/6466.jpg;"En función de su nivel de emisiones y combustible empleado, se clasifican en la categoría 0 emisiones...";828;3,86;671;4,02;"los vehículos eléctricos de batería.";"los vehículos con motor de combustión interna.";"los vehículos propulsados por gas licuado del petróleo (GLP).";;"los vehículos eléctricos de batería.";3207;"14 Mecánica";20740;"Etiquetas Contaminación";No;229365;229366;229367;;229365;No;No;No;No;Si
